username,timestamp,likes,komentar
dee_interior_design,10/1/2026, 22.26.16,0,""
avindog83,10/1/2026, 22.21.25,0,"Dalang kericuhan negeri ini cm 1..Jkw"
steve_1_3warr,10/1/2026, 21.56.52,0,"Pantas ahok menjauhkan& memisahkan diri dri mulyono, mngkin karna udh mulai2 kecium bau busuk manusia korups✅️"
uncle.rian,10/1/2026, 21.45.23,0,"Chrome book hanya menguntungkan untuk pengguna, efisien dan stabil. Tentu banyak yang gak setuju, karena hilang JOB proses pengadaan barang tiap tahun nya, anggaran Beli Laptop atau Komputer kan sangat menggiurkan , wajar aja Nadiem di jadikan Tersangka.. Lagu lama kali kek gini 😂"
jepryriot90,10/1/2026, 21.38.56,0,"E katalog y penunjukan langsung ap bkn? Coba pt baru gk ad org dlm sampe mampus gk bakalan dpt tender hok...."
_mashanif,10/1/2026, 21.35.32,0,""
rudysultanputra,10/1/2026, 21.34.02,0,"NGOMONG T A I K loe, kemana aja loe? 🤔🤣🤣🤣"
the_mazzim,10/1/2026, 21.28.36,0,"kan berita kasus ini emg fipiara biar gaduh ga selesai2.. biar apa sodara2 ??? 😂 ada yg pengen ditutupin.. biar berita kayu sumatra ngga hot lahi di medsos, misalnyaaaa..."
weneverdodge,10/1/2026, 21.25.43,0,"Pemerintah skrg tu ga suka orang2 pinter yg idealis dan orang2 yang ngajak mikir kaya pandji kemarin... Di kriminalisasi... Di setting di bentur2in sama rakyat. Karena dianggap ancaman buat sistem yg beneran korup."
16aihaki,10/1/2026, 21.22.34,0,"Laptop di siplah mahal juga😂😂"
vikyaura,10/1/2026, 21.17.26,0,"Si rafael alun mana yg rugiin negara ampe ribuan T ?"
teddyapriliady,10/1/2026, 21.13.00,0,""
okstriad,10/1/2026, 21.00.54,0,"Yg laporin sp? Kurang ngikutin gw"
agung.pribadi.1,10/1/2026, 20.47.06,0,"Kog rugikan negara ? Atau karena menghemat jadi di anggap merugikan negara ?"
rmymchair,10/1/2026, 20.44.00,0,"Ini yg podcastnya cuman bertahan beberapa menit doank itu yaa?"
alex_minister,10/1/2026, 20.43.29,0,"Semangat pak"
arsad_gumilang,10/1/2026, 20.38.44,0,"Tau tau bebas dari penjara aja kaya gayus tambunan 😪"
mic.xndrzzz,10/1/2026, 20.35.01,0,"Sampe sini bakal keungkap siapa yg beneran korupsi dan siapa yg ""beneran"" korupsi."
achmadardhy,10/1/2026, 20.27.59,0,"Nadim jd korban bosnya dan anak bosnya."
tama_0231,10/1/2026, 20.12.57,0,"Sampe kasus ini selesai pasti ijazah asli blm ditunjukan ke publik 😢"
irawan.arry,10/1/2026, 20.10.30,0,"Disuruh Nadiem Min ?😂😂😂"
chameleon.55587571,10/1/2026, 20.02.16,0,"Rezeki terus ngalir dari PU L AU 7 7 7, tiap hari ada aja ❤️"
nanu.bhaii.90,10/1/2026, 20.01.07,0,"garaＰＵＬＡ𝙪777."
old_free_fire_pawan,10/1/2026, 20.00.50,1,"bener jadi tempat keberuntungan nyata."
nikhil_87899,10/1/2026, 20.00.00,0,"Awalnya cuma iseng, tapi hasilnya wow banget di PU L AU 7 7 7! ❤️"
nr35542,10/1/2026, 19.59.58,0,"Gak nyangka pagi ini bisa JEPE 3x di𝓟𝓤𝓛𝓐𝓤777 ❤️"
darkside9636,10/1/2026, 19.59.36,0,"P UL AU7 77emang bener"
mahsa._sahraian9743,10/1/2026, 19.59.29,0,"Pagi ini senyum lebar banget gara"
dragon.162879,10/1/2026, 19.59.22,0,"Makasih banyak PULAU777atas cuan bertubi"
01sameer_choudhary,10/1/2026, 19.59.20,0,"P͟U͟L͟A͟U͟777selalu jadi tempat pulang buat cari rezeki."
__tanuuu__1600,10/1/2026, 19.59.20,0,"Malam ini jadi luar biasa berkatPULAU777yang ngasih hasil besar ❤️"
prime_cc.9,10/1/2026, 19.59.18,0,"Pagi tadi rezeki ngalir deras dari PU L AU 7 7 7, gila sih ❤️"
13_rukhi_ala_sahil_0001_,10/1/2026, 19.59.15,0,"Sore ini aku masih gak nyangka bisa menang di𝓟𝓤𝓛𝓐𝓤777."
anurag_4440_,10/1/2026, 19.59.14,0,"bener bikin saldo senyum lebar."
ooooeo2,10/1/2026, 19.59.13,0,"Hasilnya gak pernah gagal,𝙋𝙐𝙇𝘼𝙪777emang gacor! ❤️"
dddhhgf20255,10/1/2026, 19.59.10,0,"Hujan JEPE terus dari PU L AU 7 7 7, gila sih ini ❤️"
khushi_charan38,10/1/2026, 19.59.09,0,"Saldo langsung naik gila"
